grdc_no,lon,lat
650,-89.25,80.75
651,-88.75,80.75
652,-88.25,80.75
653,-87.75,80.75
654,-87.25,80.75
655,-86.75,80.75
656,-86.25,80.75
657,-85.75,80.75
658,-85.25,80.75
659,-84.75,80.75
660,-84.25,80.75
661,-83.75,80.75
662,-83.25,80.75
663,-82.75,80.75
664,-82.25,80.75
665,-81.75,80.75
666,-80.75,80.75
667,-80.25,80.75
668,-79.75,80.75
669,-79.25,80.75
670,-78.75,80.75
671,-78.25,80.75
672,-77.75,80.75
673,-77.25,80.75
674,-76.75,80.75
675,-76.25,80.75
676,-75.75,80.75
677,-75.25,80.75
678,-74.75,80.75
679,-74.25,80.75
680,-73.75,80.75
681,-73.25,80.75
682,-72.75,80.75
683,-72.25,80.75
684,-71.75,80.75
685,-71.25,80.75
686,-70.75,80.75
687,-70.25,80.75
688,-69.75,80.75
689,-69.25,80.75
690,-68.75,80.75
691,-68.25,80.75
692,-67.75,80.75
693,-67.25,80.75
694,-66.75,80.75
695,-66.25,80.75
696,-65.75,80.75
697,-65.25,80.75
698,-64.75,80.75
699,-64.25,80.75
700,-63.75,80.75
701,-63.25,80.75
702,-62.75,80.75
703,-62.25,80.75
704,-61.75,80.75
705,-61.25,80.75
706,-60.75,80.75
707,-60.25,80.75
708,-59.75,80.75
709,-59.25,80.75
710,-58.75,80.75
711,-58.25,80.75
712,-57.75,80.75
713,-57.25,80.75
714,-56.75,80.75
715,-56.25,80.75
716,-55.75,80.75
717,-55.25,80.75
718,-54.75,80.75
719,-54.25,80.75
720,-53.75,80.75
721,-53.25,80.75
722,-52.75,80.75
723,-52.25,80.75
724,-51.75,80.75
725,-51.25,80.75
726,-50.75,80.75
727,-50.25,80.75
728,-49.75,80.75
729,-49.25,80.75
730,-48.75,80.75
731,-48.25,80.75
732,-47.75,80.75
733,-47.25,80.75
734,-46.75,80.75
735,-46.25,80.75
736,-45.75,80.75
737,-45.25,80.75
738,-44.75,80.75
739,-44.25,80.75
740,-43.75,80.75
741,-43.25,80.75
742,-42.75,80.75
743,-42.25,80.75
744,-41.75,80.75
745,-41.25,80.75
746,-40.75,80.75
747,-40.25,80.75
748,-39.75,80.75
749,-39.25,80.75
750,-38.75,80.75
751,-38.25,80.75
752,-37.75,80.75
753,-37.25,80.75
754,-36.75,80.75
755,-36.25,80.75
756,-35.75,80.75
757,-35.25,80.75
758,-34.75,80.75
759,-34.25,80.75
760,-33.75,80.75
761,-33.25,80.75
762,-32.75,80.75
763,-32.25,80.75
764,-31.75,80.75
765,-31.25,80.75
766,-30.75,80.75
767,-30.25,80.75
768,-29.75,80.75
769,-29.25,80.75
770,-28.75,80.75
771,-28.25,80.75
772,-27.75,80.75
773,-27.25,80.75
774,-26.75,80.75
775,-26.25,80.75
776,-25.75,80.75
777,-25.25,80.75
778,-24.75,80.75
779,-24.25,80.75
780,-23.75,80.75
781,-23.25,80.75
782,-22.75,80.75
783,-22.25,80.75
784,-21.75,80.75
785,-21.25,80.75
786,-20.75,80.75
787,-20.25,80.75
788,-19.75,80.75
789,-19.25,80.75
790,-18.75,80.75
791,-18.25,80.75
792,-17.75,80.75
793,-17.25,80.75
794,-16.75,80.75
795,-16.25,80.75
796,-15.75,80.75
797,-15.25,80.75
798,-14.75,80.75
799,-99.25,80.25
800,-98.75,80.25
801,-98.25,80.25
802,-95.25,80.25
803,-94.75,80.25
804,-94.25,80.25
805,-93.75,80.25
806,-93.25,80.25
807,-92.75,80.25
808,-92.25,80.25
809,-91.75,80.25
810,-91.25,80.25
811,-90.75,80.25
812,-90.25,80.25
813,-89.75,80.25
814,-89.25,80.25
815,-88.75,80.25
816,-88.25,80.25
817,-87.75,80.25
818,-87.25,80.25
819,-86.75,80.25
820,-86.25,80.25
821,-85.75,80.25
822,-85.25,80.25
823,-84.75,80.25
824,-84.25,80.25
825,-83.75,80.25
826,-83.25,80.25
827,-82.75,80.25
828,-82.25,80.25
829,-81.75,80.25
830,-81.25,80.25
831,-80.75,80.25
832,-80.25,80.25
833,-79.75,80.25
834,-79.25,80.25
835,-78.75,80.25
836,-78.25,80.25
837,-77.75,80.25
838,-77.25,80.25
839,-76.75,80.25
840,-76.25,80.25
841,-75.75,80.25
842,-75.25,80.25
843,-74.75,80.25
844,-74.25,80.25
845,-73.75,80.25
846,-73.25,80.25
847,-72.75,80.25
848,-72.25,80.25
849,-71.75,80.25
850,-71.25,80.25
851,-70.75,80.25
852,-70.25,80.25
853,-69.75,80.25
854,-69.25,80.25
855,-67.75,80.25
856,-67.25,80.25
857,-66.75,80.25
858,-66.25,80.25
859,-65.75,80.25
860,-65.25,80.25
861,-64.75,80.25
862,-64.25,80.25
863,-63.75,80.25
864,-63.25,80.25
865,-62.75,80.25
866,-62.25,80.25
867,-61.75,80.25
868,-61.25,80.25
869,-60.75,80.25
870,-60.25,80.25
871,-59.75,80.25
872,-59.25,80.25
873,-58.75,80.25
874,-58.25,80.25
875,-57.75,80.25
876,-57.25,80.25
877,-56.75,80.25
878,-56.25,80.25
879,-55.75,80.25
880,-55.25,80.25
881,-54.75,80.25
882,-54.25,80.25
883,-53.75,80.25
884,-53.25,80.25
885,-52.75,80.25
886,-52.25,80.25
887,-51.75,80.25
888,-51.25,80.25
889,-50.75,80.25
890,-50.25,80.25
891,-49.75,80.25
892,-49.25,80.25
893,-48.75,80.25
894,-48.25,80.25
895,-47.75,80.25
896,-47.25,80.25
897,-46.75,80.25
898,-46.25,80.25
899,-45.75,80.25
900,-45.25,80.25
901,-44.75,80.25
902,-44.25,80.25
903,-43.75,80.25
904,-43.25,80.25
905,-42.75,80.25
906,-42.25,80.25
907,-41.75,80.25
908,-41.25,80.25
909,-40.75,80.25
910,-40.25,80.25
